pid,product_name,product_category_tree,retail_price,discounted_price,image,description,brand,product_specifications,section,category,subcategory1,subcategory2,subcategory3,subcategory4,bias,sale_percentage,tags
HK67561,Pigeon Stainless Steel Plates,Home & Kitchen >> Kitchen & Dining >> Tableware >> Plates >> Stainless Steel Plates,1495,789,"[""https://m.media-amazon.com/images/I/61fMFCZYK3L._SX679_.jpg""]",The Pigeon Stainless Steel Plates are suitable for serving various dishes.,Pigeon,"{""product_specification"": [{ ""Material"":""Stainless Steel""}, { ""Brand"":""Pigeon""}, { ""Color"":""Silver""}, { ""Item Dimensions LxWxH"":""27.5 x 21 x 20.8 Centimeters""}, { ""Shape"":""Round""}]}",Home & Kitchen,Kitchen & Dining,Tableware,Plates,Stainless Steel Plates,,A,47.22408027,
HK71780,KC Stainless Steel Dinner Plate | Thali | Khumcha Plate with Laser Design Set of 6 Plates,Home & Kitchen >> Kitchen & Dining >> Tableware >> Plates >> Stainless Steel Plates,999,749,"[""https://m.media-amazon.com/images/I/61CrhSjZoZL._SX679_.jpg""]","Introducing the KC Stainless Steel Dinner Plate/Khumcha Plate Set - Elevate Your Dining Experience with Style and Durability! Each set includes six exquisite stainless steel plates, meticulously crafted with precision laser design, adding a touch of sophistication to your dining table. These plates are not just functional but also a statement piece, making your meals more enjoyable.",KC,"{""product_specification"": [{ ""Material"":""Stainless Steel""}, { ""Brand"":""KC""}, { ""Color"":""Silver""}, { ""Weight"":""300g""}, { ""Shape"":""Round""}]}",Home & Kitchen,Kitchen & Dining,Tableware,Plates,Stainless Steel Plates,,A,25.02502503,
HK20749,"SignoraWare Bpa Free Square Plates for Dinner Lunch Breakfast, Food Grade, Reusable, Full meals Thali",Home & Kitchen >> Kitchen & Dining >> Tableware >> Plates >> Plastic Plates,399,399,"[""https://m.media-amazon.com/images/I/61btJ2CmnEL._SX679_.jpg""]","This is more than a plate; our plate is acting as a reminder to slow down in your amazing life and eat food wherever and whenever you need without plates which are light weight and portable. We know that lead is a not-good, our glazes Plates are lead free BPA FREE and Food Grade, meaning you will never have to worry about lead leaching into your system and making you sick. Since our Plates/glaze is all-natural. Our plate is extra strong to prevent minor scratches from your knives and forks. The product is made from Virgin Plastic and hence it becomes 80% Unbreakable. Dinner /Lunch Plates set 0f 3 and the Size of each plate is 10.7 Inches | Freezer, Dishwasher, Microwave & Fridge safe. Can be used directly from Fridge to Microwave without any hassle. Easy to wash.",SignoraWare,"{""product_specification"": [{ ""Material"":""Plastic""}, { ""Brand"":""SignoraWare""}, { ""Color"":""Maroon""}, { ""Weight"":""615g""}, { ""Shape"":""Square""}]}",Home & Kitchen,Kitchen & Dining,Tableware,Plates,Plastic Plates,,A,0,
HK25755,wolpin Square Plastic Dinner Plate Set (Set of 10 Pcs) Colorful Snacks/Breakfast Plate with Stand,Home & Kitchen >> Kitchen & Dining >> Tableware >> Plates >> Plastic Plates,999,379,"[""https://m.media-amazon.com/images/I/71UEJkYnTvL._SX679_.jpg""]","These Wolpin Plastic Plates are great for those quick meals or outdoor lunches/picnics. It's perfect size plates for serving breakfast, snacks, nuts, fruits, candies etc. for guests or daily use. Add a touch to your decor with these colorful plates. Seat of 10 Colorful breakfast plates 14.5 x 14.5 cm with stand. Unbreakable Virgin Plastic Plastic Microwave Safe Dinner Plates. Made from PP plastic, 100 % Food grade material. Dishwasher safe, microwave safe and stackable, fully tempered up to 3 times stronger, recyclable, easy to clean.",wolpin,"{""product_specification"": [{ ""Material"":""Plastic""}, { ""Brand"":""wolpin""}, { ""Color"":""Multicolor""}, { ""Weight"":""454g""}, { ""Shape"":""Square""}, { ""Size"":""14.5 x 14.5 cm""}]}",Home & Kitchen,Kitchen & Dining,Tableware,Plates,Plastic Plates,,A,62.06206206,
HK11569,miah decor Ceramic Dinner Plates Set of 4 Handcrafted Stoneware Ribbed Cream Matte Dinning Plate for Dinner Microwave & Dishwasher Safe-Size 10 Inches,Home & Kitchen >> Kitchen & Dining >> Tableware >> Plates >> Ceramic Plates,1638,1556,"[""https://m.media-amazon.com/images/I/81EYUN0WWwL._SX679_.jpg""]","Handcrafted Ceramic Stoneware Ribbed Cream Matte Dinner Plates 10"" in diameter are ideal for a wide range of occasions, whether you're hosting a casual gathering or a more formal brunch or dinner event. Enhance your dining table or kitchen with a delightful touch of beauty. Transform your daily meals into a feast for the eyes with this exquisite tableware, adding a refreshing and rejuvenating element to your everyday life. The Miah Decor plates are crafted from high-quality stoneware, ensuring they are both dishwasher and microwave safe for convenient use. Not only this, they are also Lead-Free, making them safe to use.",miah decor,"{""product_specification"": [{ ""Material"":""Ceramic""}, { ""Brand"":""miah decor""}, { ""Color"":""Off White""}, { ""Weight"":""2000g""}, { ""Shape"":""Round""}, { ""Dimensions"":""‎25.4L x 25.4W x 2.5Th Centimeters""}]}",Home & Kitchen,Kitchen & Dining,Tableware,Plates,Ceramic Plates,,A,5.006105006,
HK41307,Parage Stainless Steel Serving Kitchen Chamcha,Home & Kitchen >> Kitchen & Dining >> Tableware >> Flatware >> Spoons >> Serving Spoons,1199,616,"[""https://m.media-amazon.com/images/I/71foU7PfuTL._SX679_.jpg""]",The Parage Stainless Steel Serving Kitchen Chamcha is designed for serving food and cooking.,Parage,"{""product_specification"": [{ ""Material"":""Stainless Steel""}, { ""Color"":""Silver""}, { ""Brand"":""Parage""}, { ""Style"":""Fine""}, { ""Product Dimensions"":""26.5L x 7.5W Centimeters""}]}",Home & Kitchen,Kitchen & Dining,Tableware,Flatware,Spoons,Serving Spoons,A,48.62385321,
HK95375,Parage Stainless Steel Dinner Spoons,Home & Kitchen >> Kitchen & Dining >> Tableware >> Flatware >> Spoons >> Dinner Spoons,410,285,"[""https://m.media-amazon.com/images/I/61N0s9jMJyL._SX679_.jpg""]",The Parage Stainless Steel Dinner Spoons are designed for serving meals.,Parage,"{""product_specification"": [{ ""Material"":""Stainless Steel""}, { ""Color"":""Silver""}, { ""Brand"":""Parage""}, { ""Style"":""Modern""}, { ""Product Dimensions"":""16L x 3.6W Centimeters""}]}",Home & Kitchen,Kitchen & Dining,Tableware,Flatware,Spoons,Dinner Spoons,A,30.48780488,
HK45153,Oohm Stainless Steel Cutlery Set,Home & Kitchen >> Kitchen & Dining >> Tableware >> Flatware >> Cutlery Sets,4799,2499,"[""https://m.media-amazon.com/images/I/61Ng9cDHPTL._SX679_.jpg""]","The Stainless Steel Cutlery Set includes spoons, forks, knives, and teaspoons with a stand. It is corrosion resistant and dishwasher safe. Polished finish.",Oohm,"{""product_specification"": [{ ""Material"":""Stainless Steel""}, { ""Color"":""Silver""}, { ""Product Care Instructions"":""Dishwasher Safe""}, { ""Special Feature"":""Corrosion resistant""}, { ""Finish Type"":""Polished""}, { ""Included Components"":""Set of 25- Dinner Spoons, Forks, Knives, Teaspoons With A Stand""}, { ""Style"":""Unity Series""}]}",Home & Kitchen,Kitchen & Dining,Tableware,Flatware,Cutlery Sets,,A,47.92665139,
HK16937,"Parage Miracle Stainless Steel Cutlery Set of 24, Contains Master Spoons Set of 6, Table Spoon Set of 6, 6 Fork, 6 Soup Spoons, 1 Stylish Stand, Elegant Cutlery Set for Dining Table, Mirror Polished",Home & Kitchen >> Kitchen & Dining >> Tableware >> Flatware >> Cutlery Sets,799,629,"[""https://m.media-amazon.com/images/I/71LKIj79dTL._SX679_.jpg""]","We provide stainless steel spoon and fork set, table spoons, soup spoons, and stands that give your dining table a glossy and elegant look. The sleek silver shine gives the cutlery an elegant look that is perfect for weddings, receptions, formal dinners, banquets, and dinner parties as well as everyday mealtime, picnics, and informal events. The high grade material is used to construct stainless steel kitchen set, which stands out for its durability and corrosion resistance, sturdy and not easily bent. Furthermore, it is dishwasher-safe. Each fork and spoon set is crafted with a top-notch and high grade quality. The cutlery set's smooth edges make it safe to use and its balanced weight makes it easy to handle.",Parage,"{""product_specification"": [{ ""Material"":""Stainless Steel""}, { ""Color"":""Silver""}, { ""Product Care Instructions"":""Hand Wash Only""}, { ""Special Feature"":""Corrosion resistant""}, { ""Finish Type"":""Polished""}, { ""Included Components"":""6 Spoons, 6 Forks, 6 Tea Spoons, 6 Soup Spoons, 1 SS Stand""}, { ""Weight"":""850g""}]}",Home & Kitchen,Kitchen & Dining,Tableware,Flatware,Cutlery Sets,,A,21.27659574,
HK77324,Pigeon Shears Kitchen Knife Set,Home & Kitchen >> Kitchen & Dining >> Kitchen Tools & Gadgets >> Knife Sets >> Pigeon Knife Sets,695,389,"[""https://m.media-amazon.com/images/I/51BgScyg2qL._SX679_.jpg""]",The Pigeon Shears Kitchen Knife Set includes a variety of knives suitable for various kitchen tasks.,Pigeon,"{""product_specification"": [{ ""Blade Material"":""Stainless Steel""}, { ""Brand"":""Pigeon""}, { ""Colour"":""Silver""}, { ""Handle Material"":""Plastic""}, { ""Blade Edge"":""Serrated""}, { ""Blade Length"":""5 Centimetres""}, { ""Construction Type"":""Forged""}, { ""Item Weight"":""307 Grams""}, { ""Blade Colour"":""Silver""}, { ""Is Dishwasher Safe"":""Yes""}]}",Home & Kitchen,Kitchen & Dining,Kitchen Tools & Gadgets,Knife Sets,Pigeon Knife Sets,,A,44.02877698,
